gene_idx,pcc,spearman,mae,rmse
310,0.27271232411225615,0.20006166604165604,0.3860271,0.94720507
311,0.04696776496648991,0.04573393845040272,0.12403737,1.0290527
312,0.05778682522423356,0.053515237006959926,0.12562789,1.0537076
313,0.2398903294895657,0.2174956476875757,0.37139574,0.96299124
314,0.14280760387906916,0.1388867530203431,0.36026323,0.9748098
315,0.025745753373524017,0.027826876983540316,0.121205606,0.9525266
316,0.17472693465085345,0.18554732843816238,0.435983,0.9805648
317,0.01743313389881219,0.01431889122397745,0.055206757,0.7794043
318,0.5558276748632658,0.2663720916851904,0.26940668,0.8474448
319,0.029599482369778638,0.03604632707393642,0.17005727,1.0696704
320,0.33283431586826073,0.18498639933823705,0.32113308,0.93860143
321,0.20820809048426867,0.20338266054601598,0.42172575,0.98078597
322,0.1049542039481111,0.12322704930425897,0.33447212,1.013301
323,0.18001539664995622,0.12554071053735194,0.29899633,0.9867467
324,0.2610738054153631,0.1539388750772292,0.22662868,1.0073706
325,0.3140783840264765,0.23942691778267733,0.38774207,0.95702916
326,0.48374971898544217,0.19708338338845183,0.25540143,0.90104985
327,0.17645767824806227,0.1984546584261898,0.6514541,0.97389376
328,0.40960667620274843,0.2601756161689017,0.3365575,0.9593256
329,0.19898187380196622,0.15443098281285775,0.3599773,1.0017588
330,0.3150893299222366,0.3619605070122923,0.6892371,0.94675344
331,0.16277480614400328,0.11430843132632539,0.24315357,0.9712333
332,0.1732869040083622,0.11282811996086946,0.22649907,0.9670199
333,0.2232576261947658,0.1330715785492388,0.5643987,0.9823989
334,0.22786552118878428,0.17589786892639683,0.2731638,0.99458706
335,0.13588851223354495,0.10543844381531947,0.15512946,1.0464166
336,0.36548115702430467,0.2965958384380964,0.44876006,0.92118174
337,0.13499958443962654,0.09241518764682838,0.23877144,1.0379622
338,0.20910427693946207,0.2282059571314266,0.6795481,0.99873817
339,0.010328420532730965,-0.0006133868466882162,0.08238434,1.0414711
340,0.03894402299434859,0.021880651385908657,0.09142633,1.1081029
341,0.07202739459517313,0.05078161092327989,0.09618433,1.0020542
342,0.1320808819573778,0.06907222126774237,0.15500218,0.95655775
343,0.20413839992488336,0.16711372752554285,0.2827393,0.9784025
344,0.24962721901376725,0.12358741704499142,0.18407468,1.0188137
345,0.170942115483439,0.14740744793314084,0.56025016,1.0019152
346,0.21046871768533798,0.22627710877000157,0.5120538,0.9850812
347,0.22084632338877105,0.1856187071584467,0.32807624,0.97042817
348,0.5614679201808671,0.48765109226507886,0.53398407,0.8948059
349,0.36774439715674034,0.15666509695260805,0.2749845,0.96032965
350,0.4699699048403055,0.2652843776504787,0.33074933,0.89159775
351,0.41210742477220236,0.18162561878916653,0.35399267,0.92781305
352,0.23366909728696678,0.23767433825078557,0.5270395,0.95607454
353,0.39110259101899436,0.1629241575721853,0.19503647,0.91624415
354,0.43571043180485636,0.41971941290908155,0.598004,0.9063294
355,0.431108569690609,0.3292525636988673,0.6367396,0.8956658
356,0.29316712710035503,0.2697802597364794,0.4198674,0.9512368
357,0.03873314478662553,0.039311630609652655,0.098329276,0.9344136
358,0.3958830980581917,0.28737934456148817,0.4361116,0.9331642
359,0.15712420303657468,0.05072353707661859,0.18689471,1.0020009
360,0.13040849244657943,0.15201275531836167,0.4043931,0.9716462
361,0.10374053514735895,0.09321534325623565,0.33515558,1.02421
362,0.29156853452404885,0.29080244176707437,0.53937644,0.9588883
363,0.3009342924371135,0.3048013731437208,0.50087845,0.9490028
364,0.5195462363414628,0.518302971465012,0.5611904,0.87669927
365,0.15787059594215705,0.11174113402752288,0.24617423,0.9885031
366,0.14514793210889318,0.06671474381039695,0.11789538,1.0412287
367,0.11973213782237353,0.10894307242816614,0.6144222,0.991068
368,0.12939310474078886,0.16576734732318119,0.6781791,0.9767159
369,0.03494665001036227,0.031788502418316884,0.09772962,0.9762853
370,0.1231388909596344,0.10616257981538442,0.27246138,0.98941976
371,0.3472577402033245,0.17182969833006057,0.23609719,0.9528123
372,0.4236753387896183,0.1929270132111613,0.19166474,0.92652005
373,0.2016819936842465,0.08051434931467465,0.16019093,0.9957805
374,0.10832512873272665,0.01772800304428283,0.15895873,1.0304298
375,0.00649238097192099,0.010524398234184903,0.04054248,1.1272889
